Company Name,Rating,Review Count,Category,Address,Website,Search Term
Coffee Innovations,5.0,2,Coffee wholesaler,2120 Dennis St,http://coffee-innovations.com/,"Jacksonville, FL Wholesaler"
Long's Wholesale Furniture,4.2,157,Furniture store,6569 103rd St,https://www.longswholesalefurniturejax.com/,"Jacksonville, FL Wholesaler"
Mac Papers + Packaging Corporate HQ,4.1,17,Paper distributor,3300 Philips Hwy,http://macpapers.com/,"Jacksonville, FL Wholesaler"
Birdz Eyewear,5.0,1,Wholesaler,1316 W Adams St,https://birdzeyewear.com/contact-us/,"Jacksonville, FL Wholesaler"
The Home Depot Pro Multifamily,1.0,1,Wholesaler,1316 W Adams St,http://www.wilmar.com/,"Jacksonville, FL Wholesaler"
Elite Wholesale Signs,1.0,1,Sign shop,4949 Sunbeam Rd,,"Jacksonville, FL Wholesaler"
Wholesale Hardscapes,5.0,1,Store,4949 Sunbeam Rd,http://wholesalehardscapes.com/,"Jacksonville, FL Wholesaler"
Heather Food Store,5.0,2,Food products supplier,4006 N Main St,,"Jacksonville, FL Wholesaler"
Powers Auto Wholesale,3.9,15,Used car dealer,4527 St Augustine Rd,https://www.powersautowholesale.com/contact,"Jacksonville, FL Wholesaler"
Jax Paper Co,5.0,4,Paper distributor,1414 Hendricks Ave,http://www.jaxpaper.com/,"Jacksonville, FL Wholesaler"
Wholesale Property Depot,5.0,1,Real estate consultant,1824 Blanding Blvd,https://www.wholesalepropertydepot.com/,"Jacksonville, FL Wholesaler"
Costco Wholesale,4.6,"3,926",Warehouse store,8000 Parramore Rd,http://www.costco.com/warehouse-locations/jacksonville-FL-1294.html?utm_term=KW&utm_campaign=Homepage&utm_medium=GMB&utm_source=Google&utm_content=Link,"Jacksonville, FL Wholesaler"
Custom Wholesale Floors Inc,4.8,22,Wood and laminate flooring supplier,2655 N Dawin Rd,http://www.cwf.com/,"Jacksonville, FL Wholesaler"
La Salsa Market,3.9,232,Wholesaler,11761 Beach Blvd Suite 3,https://lasalsamarket.ecwid.com/,"Jacksonville, FL Wholesaler"
United Refrigeration Inc,4.9,7,Wholesaler,1004 Rosselle St,http://www.uri.com/,"Jacksonville, FL Wholesaler"
Jerry's Art Supply Wholesale Club of Jacksonville,4.6,69,Art supply store,4421 Southside Blvd,https://www.jerrysretailstores.com/jacksonville-fl/,"Jacksonville, FL Wholesaler"
GRABBER Jacksonville,3.0,2,Construction material wholesaler,5913-7 St Augustine Rd,http://www.grabberpro.com/,"Jacksonville, FL Wholesaler"
Cugino's Sausage Company,5.0,19,Meat wholesaler,5065 St Augustine Rd Unit 5,http://cuginossausage.com/,"Jacksonville, FL Wholesaler"
Distributors,4.0,1,Distribution service,361 Lolly Ln,,"Jacksonville, FL Wholesaler"
United Refrigeration Inc,4.4,15,Wholesaler,2899 Powers Ave # 5,http://www.uri.com/,"Jacksonville, FL Wholesaler"
Bargain Max,3.2,27,Wholesaler household appliances,2829 N Main St,https://bargain-max.business.site/?utm_source=gmb&utm_medium=referral,"Jacksonville, FL Wholesaler"
Custom Wholesale Floors Inc,4.8,22,Wood and laminate flooring supplier,2655 N Dawin Rd,http://www.cwf.com/,"Jacksonville, FL Wholesaler"
Elite Wholesale Signs,1.0,1,Sign shop,4949 Sunbeam Rd,,"Jacksonville, FL Wholesaler"
Sunrise Fresh Produce Distribution Center LLC,3.8,80,Produce market,2208 W 21st St,http://www.sunrisefreshproduce.com/,"Jacksonville, FL Wholesaler"
Cugino's Sausage Company,5.0,19,Meat wholesaler,5065 St Augustine Rd Unit 5,http://cuginossausage.com/,"Jacksonville, FL Wholesaler"
Costco Wholesale,4.6,"3,926",Warehouse store,8000 Parramore Rd,http://www.costco.com/warehouse-locations/jacksonville-FL-1294.html?utm_term=KW&utm_campaign=Homepage&utm_medium=GMB&utm_source=Google&utm_content=Link,"Jacksonville, FL Wholesaler"
Wholesale Hardscapes,5.0,1,Store,8000 Parramore Rd,http://wholesalehardscapes.com/,"Jacksonville, FL Wholesaler"
Baker Distributing Company,4.1,24,Wholesaler,2121 Edison Ave,http://www.bakerdist.com/,"Jacksonville, FL Wholesaler"
La Salsa Market,3.9,232,Wholesaler,11761 Beach Blvd Suite 3,https://lasalsamarket.ecwid.com/,"Jacksonville, FL Wholesaler"
Jerry's Art Supply Wholesale Club of Jacksonville,4.6,69,Art supply store,4421 Southside Blvd,https://www.jerrysretailstores.com/jacksonville-fl/,"Jacksonville, FL Wholesaler"
Fastenal Fulfillment Center - Limited Hours,1.8,4,Wholesaler,1408 Haines St,https://www.fastenal.com/locations/details/flja4,"Jacksonville, FL Wholesaler"
United Refrigeration Inc,4.4,15,Wholesaler,2899 Powers Ave # 5,http://www.uri.com/,"Jacksonville, FL Wholesaler"
Tubular Travel-Tube Travel Pillow,4.4,15,Luggage wholesaler,4221 San Jose Blvd,http://www.tubulartravel.com/,"Jacksonville, FL Wholesaler"
Winsupply of Jacksonville,4.7,35,Wholesaler,2365 Dennis St,https://www.winsupplyinc.com/Location/Jacksonville-FL/32204/Plumbing-Supplies,"Jacksonville, FL Wholesaler"
Heyden Supply,4.8,5,Building materials supplier,439 E 8th St,https://heydensupply.com/,"Jacksonville, FL Wholesaler"
Weise Natural Food Products Shoppe,5.0,15,Food products supplier,4343 Colonial Ave #2,,"Jacksonville, FL Wholesaler"
Rooms R US LLC,4.5,8,Furniture wholesaler,1212 Bernita St,http://roomsrusjax.com/,"Jacksonville, FL Wholesaler"
Roovet International Corporation,4.7,3,Website designer,10737 New Kings Rd #101,http://www.roovet.com/,"Jacksonville, FL Wholesaler"
Universal Southern Corporation,5.0,8,Wholesaler,3755 Grant Rd,,"Jacksonville, FL Wholesaler"
The Home Depot Pro Institutional,2.8,5,Wholesaler,3755 Grant Rd,https://www.supplyworks.com/,"Jacksonville, FL Wholesaler"
Florida Wholesale Homes,1.0,1,Real estate agency,9310 Old Kings Rd S,,"Jacksonville, FL Wholesaler"
Whole Foods Market,4.3,"1,405",Grocery store,10601 San Jose Blvd,/aclk?sa=l&ai=DChcSEwiz4P__l836AhUXvcgKHd18BlkYABAAGgJxdQ&sig=AOD64_3gRU981ti9tBDfgoa9Yie1Yhnziw&adurl&q&ctype=99,"Jacksonville, FL Wolesale Grocer"
Mainstreet Supply,4.8,62,Wholesale grocer,3717 Vance St,https://mainstreetjax.business.site/?utm_source=gmb&utm_medium=referral,"Jacksonville, FL Wolesale Grocer"
C&S Wholesale Grocers,2.7,120,Warehouse,5050 Edgewood Ct,http://www.cswg.com/location/jacksonville-fl,"Jacksonville, FL Wolesale Grocer"
The Garden Produce,3.9,54,Produce wholesaler,5400 Longleaf St,http://www.thegardenproduce.com/,"Jacksonville, FL Wolesale Grocer"
Adel Wholesale,3.9,54,Wholesaler,2500 Charlevoix St,http://www.adelwholesale.com/location.php,"Jacksonville, FL Wolesale Grocer"
First Wave Sales LLC,3.9,54,Wholesale grocer,3948 3rd St S #342,http://www.firstwavesales.com/,"Jacksonville, FL Wolesale Grocer"
Naddaf Wholesale,4.7,66,Store,"32206, 5030 Spring Park Rd",,"Jacksonville, FL Wolesale Grocer"
C&S Wholesale grocers Jacksonville,3.0,2,Warehouse,15500 W Beaver St,,"Jacksonville, FL Wolesale Grocer"
BJ's Wholesale Club,4.0,294,Grocery store,8046 Philips Hwy,https://www.bjs.com/cl/jacksonville---phillips-highway/0171?utm_source=google&utm_medium=GMB&utm_campaign=clubt,"Jacksonville, FL Wolesale Grocer"
C & S Wholesale Grocers,2.7,555,Distribution service,15500 W Beaver St,http://www.cswg.com/,"Jacksonville, FL Wolesale Grocer"
Kelly's Foods,4.8,26,Meat wholesaler,2240 Dennis St,http://home.kellysfoods.com/,"Jacksonville, FL Wolesale Grocer"
"Roberta African, and Caribbean Market.",4.7,33,Grocery store,968 Arlington Rd N,https://robertaafricanmarket.com/,"Jacksonville, FL Wolesale Grocer"
Sunrise Fresh Produce Distribution Center LLC,3.8,80,Produce market,2208 W 21st St,http://www.sunrisefreshproduce.com/,"Jacksonville, FL Wolesale Grocer"
Tornado Wholesale,5.0,1,Wholesaler,5535 Beach Blvd,,"Jacksonville, FL Wolesale Grocer"
Jacksonville Flower Market,5.0,1,Wholesale florist,9731 Beach Blvd suite B,http://jacksonvilleflowermarket.com/,"Jacksonville, FL Wolesale Grocer"
Bravo Foods,4.5,19,Food products supplier,25 Ellis Rd S,https://bravofoodservice.com/,"Jacksonville, FL Wolesale Grocer"
Snap Food Products,4.5,19,Wholesale food store,620 Chestnut St,https://www.buysnapfoods.com/,"Jacksonville, FL Wolesale Grocer"
Sysco Jacksonville - Wholesale Restaurant Food Supplies,2.8,170,Food products supplier,1501 Lewis Industrial Dr,https://sysco.com/Contact/Contact/Our-Locations/Jacksonville?utm_medium=googlemybusiness&utm_source=google.com&utm_campaign=gmb_opcopages&utm_content=Jacksonville,"Jacksonville, FL Wolesale Grocer"
Fruit & Vegetable Inspection,2.8,170,Produce wholesaler,7033 Commonwealth Ave # 16,,"Jacksonville, FL Wolesale Grocer"
Mr Greens,3.7,3,Food products supplier,7380 Philips Hwy #403,https://mrgreensproduce.com/,"Jacksonville, FL Wolesale Grocer"
Whole Foods Market,4.3,"1,405",Grocery store,10601 San Jose Blvd,https://www.wholefoodsmarket.com/stores/jacksonville,"Jacksonville, FL Wolesale Grocer"
Allen Wholesale Supply,4.3,"1,405",Wholesaler,2403 Market St,https://steamsuppliers.com/,"Jacksonville, FL Wolesale Grocer"
Restaurant Depot,3.7,523,Restaurant supply store,3389 Powers Ave,https://www.restaurantdepot.com/?utm_source=listings&utm_medium=search&utm_campaign=traffic-tracking&utm_content=MIDWEST&utm_term=411-FLORIDA,"Jacksonville, FL Wolesale Grocer"
BJ's Wholesale Club,4.0,207,Grocery store,12200 Atlantic Blvd,https://www.bjs.com/cl/jacksonville---atlantic-blvd-/0108?utm_source=google&utm_medium=GMB&utm_campaign=clubt,"Jacksonville, FL Wolesale Grocer"
Sprouts Farmers Market,4.6,442,Grocery store,12675 Beach Blvd Ste 200,https://www.sprouts.com/store/fl/jacksonville/jacksonville-beach-blvd/,"Jacksonville, FL Wolesale Grocer"
Sam's Club,4.3,"1,661",Warehouse club,10690 Beach Blvd,https://www.samsclub.com/club/jacksonville-fl-sams-club/8116,"Jacksonville, FL Wolesale Grocer"
La Salsa Market,3.9,232,Supermarket,11761 Beach Blvd Suite 3,https://lasalsamarket.ecwid.com/,"Jacksonville, FL Wolesale Grocer"
Jax BouqCake,5.0,1,Flower market,1880 Burkholder Cir W,https://www.jaxbouqcake.com/,"Jacksonville, FL Wolesale Grocer"
Williams Wholesale Seafood,5.0,2,Seafood wholesaler,11610 San Jose Blvd,http://www.thefishermansdock.com/,"Jacksonville, FL Wolesale Grocer"
Bayon Exotic Fruits & Produce,4.6,13,Fruit and vegetable store,3362 Powers Ave,,"Jacksonville, FL Wolesale Grocer"
The Fresh Market,4.6,"1,130",Grocery store,150 Riverside Ave Suite 200,https://www.thefreshmarket.com/my-market/store/150riverside-jacksonville,"Jacksonville, FL Wolesale Grocer"
United Grocers of Jacksonville,4.6,"1,130",Association or organization,6015 E Morrow St,http://unitedgrocersjax.com/,"Jacksonville, FL Wolesale Grocer"
The Fresh Market,4.5,737,Grocery store,13493 Atlantic Blvd,https://www.thefreshmarket.com/my-market/store/13493atlantic-jacksonville,"Jacksonville, FL Wolesale Grocer"
"BEAUITFUL16,LLC",4.5,737,Wholesale market,13493 Atlantic Blvd,,"Jacksonville, FL Wolesale Grocer"
Kompongson Oriental Food & Gft,4.5,22,Grocery store,5857 University Blvd W,,"Jacksonville, FL Wolesale Grocer"
Vietnam Oriental Foods & Gift,4.0,50,Asian grocery store,622 Cassat Ave # 4,,"Jacksonville, FL Wolesale Grocer"
Amar European Grocery Store,4.8,295,Grocery store,8030 Philips Hwy,,"Jacksonville, FL Wolesale Grocer"
Amar European Grocery Store,4.6,214,Grocery store,5664 Santa Monica Blvd S,,"Jacksonville, FL Wolesale Grocer"
Jax Oriental Market,4.3,562,Asian grocery store,10584 Old St Augustine Rd Suite 2,http://shelftocurb.com/,"Jacksonville, FL Wolesale Grocer"
Rowe's Supermarket - Baymeadows,4.6,691,Grocery store,9866 Old Baymeadows Rd,http://www.rowes.iga.com/,"Jacksonville, FL Wolesale Grocer"
C & B Salvage Co,4.9,23,Surplus store,3811 University Blvd W # 13,,"Jacksonville, FL Wolesale Grocer"
PPH Food Mart,4.2,11,Grocery store,4373 Philips Hwy,,"Jacksonville, FL Wolesale Grocer"
Costco Wholesale,4.5,"4,473",Warehouse store,4901 Gate Pkwy,http://www.costco.com/warehouse-locations/jacksonville-FL-357.html?utm_term=KW&utm_campaign=Homepage&utm_medium=GMB&utm_source=Google&utm_content=Link,"Jacksonville, FL Wolesale Grocer"
Taj Wholesale,5.0,5,Wholesaler,4200 Baymeadows Rd,https://www.tajwholesale.com/,"Jacksonville, FL Wolesale Grocer"
NAS Jax Commissary,4.6,"2,091",Grocery store,1701 Allegheny Cir Bldg 501,https://www.commissaries.com/shopping/store-locations/jacksonville-nas,"Jacksonville, FL Wolesale Grocer"
Englewood Produce,4.6,"2,091",Grocery store,1701 Allegheny Cir Bldg 501,,"Jacksonville, FL Wolesale Grocer"
The Fresh Market,4.5,534,Grocery store,12795 San Jose Blvd Suite 1,https://www.thefreshmarket.com/my-market/store/12795san-jose-jacksonville,"Jacksonville, FL Wolesale Grocer"
Lewis Family Food Store,3.8,13,Grocery store,2599 Edison Ave,,"Jacksonville, FL Wolesale Grocer"
Avondale Superette,4.2,44,Grocery store,3673 Park St,,"Jacksonville, FL Wolesale Grocer"
Stone Crab Wholesale,4.2,44,Wholesaler,1741 W Beaver St,http://www.beaverstreetfisheries.com/contact-us.php,"Jacksonville, FL Wolesale Grocer"
Kong Grocery Asian Market,4.7,178,Asian grocery store,8650 Old Kings Rd S #8,,"Jacksonville, FL Wolesale Grocer"
Jacksonville Farmers Market,4.3,798,Grocery store,1810 W Beaver St,http://www.jaxfarmersmarket.com/,"Jacksonville, FL Wolesale Grocer"
Hung Thinh Supermarket,4.2,407,Asian grocery store,5801 Normandy Blvd,http://www.hungthinhasianmarket.com/,"Jacksonville, FL Wolesale Grocer"
Low Price Food Mart,3.7,22,Grocery store,8838 Atlantic Blvd,,"Jacksonville, FL Wolesale Grocer"
Dragon Asian Supermarket,4.5,185,Asian grocery store,10771 Beach Blvd #405,,"Jacksonville, FL Wolesale Grocer"
Rowes IGA,4.3,447,Supermarket,6765 Dunn Ave,,"Jacksonville, FL Wolesale Grocer"
Farmers market,4.8,6,Grocery store,1780 W Beaver St,https://jaxfarmersmarket.com/,"Jacksonville, FL Wolesale Grocer"
BJ’s Wholesale Club Distribution Center,3.2,595,Warehouse club,4500 Director Rd,http://www.bjs.com/,"Jacksonville, FL Wolesale Grocer"
Family Asian Market,4.6,77,Grocery store,11565 N Main St Unit 226,https://www.familyasianmarket.com/,"Jacksonville, FL Wolesale Grocer"
